co_barcode_cluster_id,gene_id,count
A4GALT,A4GALT,2007
ABCD1P4,ABCD1P4,5
ABHD17AP4,ABHD17AP4,229
ABHD17AP5,ABHD17AP5,781
ACO2,ACO2,18469
ACO2P1,ACO2P1,57
ACR,ACR,51
ACTBP15,ACTBP15,2394
ACTR2P1,ACTR2P1,345
ACTR3BP7,ACTR3BP7,2
ADA2,ADA2,35067
ADAMTS7P5,ADAMTS7P5,20
ADM2,ADM2,379
ADORA2A,ADORA2A,436
ADORA2A-AS1,ADORA2A-AS1,53
ADSL,ADSL,867
AIFM3,AIFM3,379
ALG12,ALG12,3155
ANKRD54,ANKRD54,2806
ANKRD62P1,ANKRD62P1,5
ANKRD62P1-PARP4P3,ANKRD62P1-PARP4P3,5
ANP32BP2,ANP32BP2,6
AP1B1,AP1B1,20885
AP1B1P1,AP1B1P1,16
APOBEC3A,APOBEC3A,81291
APOBEC3B,APOBEC3B,5344
APOBEC3B-AS1,APOBEC3B-AS1,20
APOBEC3C,APOBEC3C,161305
APOBEC3D,APOBEC3D,912
APOBEC3F,APOBEC3F,7922
APOBEC3G,APOBEC3G,53278
APOBEC3H,APOBEC3H,3273
APOL1,APOL1,10640
APOL2,APOL2,36410
APOL3,APOL3,26913
APOL4,APOL4,782
APOL5,APOL5,3
APOL6,APOL6,33922
ARFGAP3,ARFGAP3,22477
ARHGAP42P3,ARHGAP42P3,1
ARHGAP8,ARHGAP8,76
ARL5AP4,ARL5AP4,298
ARSA,ARSA,23597
ARVCF,ARVCF,617
ASCC2,ASCC2,24254
ASH2LP1,ASH2LP1,232
ASH2LP2,ASH2LP2,29
ASH2LP3,ASH2LP3,17
ASH2LP4,ASH2LP4,13
ASLP1,ASLP1,84
ASPHD2,ASPHD2,11809
ATF4,ATF4,25073
ATP5MGL,ATP5MGL,509
ATP5PFP2,ATP5PFP2,157
ATP6V1E1,ATP6V1E1,73071
ATXN10,ATXN10,17874
BAIAP2L2,BAIAP2L2,203
BBLNP2,BBLNP2,21
BCL2L13,BCL2L13,14408
BCR,BCR,4291
BCRP1,BCRP1,2
BCRP3,BCRP3,27
BCRP4,BCRP4,11
BCRP6,BCRP6,1
BCRP8,BCRP8,18
BID,BID,142688
BIK,BIK,4623
BMP6P1,BMP6P1,3
BMS1P20,BMS1P20,113
BPIFC,BPIFC,29
BRD1,BRD1,5678
C1QTNF6,C1QTNF6,623
C22orf15,C22orf15,78
C22orf23,C22orf23,34
C22orf31,C22orf31,9
C22orf39,C22orf39,14712
C22orf42,C22orf42,28
C22orf46P,C22orf46P,620
CA15P1,CA15P1,8
CA15P2,CA15P2,10
CABIN1,CABIN1,16257
CABP7,CABP7,213
CABP7-DT,CABP7-DT,16
CACNA1I,CACNA1I,592
CACNG2,CACNG2,98
CACNG2-DT,CACNG2-DT,32
CARD10,CARD10,208
CASTOR1,CASTOR1,602
CBX6,CBX6,44232
CBX7,CBX7,7376
CBY1,CBY1,2245
